Mileage(Kilometer),Model(Year),Engine(True=Healthy),Chassis(True=Healthy),Description(False=Expensive),Price(Toman)
['۴۱۰٬۰۰۰'],['۱۳۸۵'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۲۵٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۰۵٬۰۰۰٬۰۰۰']
['۴۸٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۰۵٬۰۰۰٬۰۰۰']
['۲۴۳٬۰۰۰'],['۱۳۹۰'],True,True,False,['۳۰۵٬۰۰۰٬۰۰۰']
['۵۱٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۱۲٬۰۰۰٬۰۰۰']
['۶۰٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۱۵٬۰۰۰٬۰۰۰']
['۱۸٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۷۰٬۰۰۰٬۰۰۰']
['۶۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۵٬۰۰۰٬۰۰۰']
['۸۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۵۸٬۰۰۰٬۰۰۰']
['۲۱۵٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۳۰٬۰۰۰٬۰۰۰']
['۴۸۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۶۵٬۰۰۰٬۰۰۰']
['۸۲٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۲۷٬۰۰۰٬۰۰۰']
['۵۳٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۸۹٬۰۰۰'],['۱۳۸۹'],True,True,False,['۲۹۵٬۰۰۰٬۰۰۰']
['۲۰۳٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۰۵٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
['۷۴٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۵٬۰۰۰٬۰۰۰']
['۱۸۵٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۸۵٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۱'],True,True,False,['۱۹۸٬۰۰۰٬۰۰۰']
['۸٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۷۰٬۰۰۰٬۰۰۰']
['۱۲۵٬۰۰۰'],['۱۳۹۱'],True,True,False,['۲۹۵٬۰۰۰٬۰۰۰']
['۱۴۳٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۴۵٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۷۰٬۰۰۰٬۰۰۰']
['۱۲۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۹۵٬۰۰۰٬۰۰۰']
['۱۴۴٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۷۵٬۰۰۰٬۰۰۰']
['۲۱۹٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۳۰٬۰۰۰٬۰۰۰']
['۲۰٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۶۰٬۰۰۰٬۰۰۰']
['۳۲۰٬۰۰۰'],['۱۳۸۴'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۱۹۲٬۰۰۰'],['۱۳۸۱'],True,True,False,['۱۹۵٬۰۰۰٬۰۰۰']
['۱۱۹٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۵۹٬۰۰۰٬۰۰۰']
['۲۱۸٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۲۴۸٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۹۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],False,False,True,[]
['۱۱۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۸۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],False,False,True,[]
['۳۰٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۷۰٬۰۰۰٬۰۰۰']
['۲۱۳٬۰۰۰'],['۱۳۸۶'],False,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۱۹۵٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۲۴٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۰۷٬۰۰۰٬۰۰۰']
['۲٬۰۰۰'],['۱۴۰۱'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۲۴۰٬۰۰۰'],['۱۳۸۶'],False,True,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۱۰۰'],['۱۴۰۱'],True,True,False,['۵۰۵٬۰۰۰٬۰۰۰']
['۴۴٬۰۰۰'],['۱۳۹۷'],True,True,False,['۳۹۵٬۰۰۰٬۰۰۰']
['۱۶٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۵۰٬۰۰۰٬۰۰۰']
['۲۳۷٬۰۰۰'],['۱۳۹۰'],False,False,True,['۱۱٬۱۱۱٬۱۱۱']
['۱۸۴٬۴۰۰'],['۱۳۸۷'],True,True,False,['۲۷۰٬۰۰۰٬۰۰۰']
['۳۸٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۰۰٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۹'],False,False,True,['۲۶۸٬۰۰۰٬۰۰۰']
['۲۳۲٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۱۳۰٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۵۵٬۰۰۰٬۰۰۰']
['۱۳۷٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۸٬۰۰۰٬۰۰۰']
['  آخر ۱۳۹۹۴ روز پیش در تهران، لویزانزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۲۳٬۵۰۰'],['۱۳۹۹'],True,True,True,['۴۳۰٬۰۰۰٬۰۰۰']
['۱۴۰٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۵٬۰۰۰٬۰۰۰']
['۱۶۶٬۰۰۰'],['۱۳۹۰'],True,True,True,['۳۰۰٬۰۰۰٬۰۰۰']
['۱۸٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۵۵٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۸۵٬۰۰۰٬۰۰۰']
['۱۹۰٬۰۰۰'],['۱۳۸۱'],True,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۵۵٬۰۰۰٬۰۰۰']
['۲۳۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۲۵۷٬۰۰۰'],['۱۳۸۶'],False,False,True,['۲۲۵٬۰۰۰٬۰۰۰']
['۲۳۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۱۱٬۱۱۱٬۱۱۱']
['۴۵٬۰۰۰'],['۱۳۹۶'],True,True,False,['۳۹۰٬۰۰۰٬۰۰۰']
['۲۹۸٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۳۵٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۱۸۵٬۰۰۰٬۰۰۰']
['۱۱۴٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۹۰٬۰۰۰٬۰۰۰']
['۲۳۰٬۰۰۰'],['۱۳۸۴'],False,False,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۲۳۴٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۸۰٬۰۰۰٬۰۰۰']
['۱۱۳٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۶۳٬۰۰۰٬۰۰۰']
['۹۹٬۰۰۰'],['۱۳۹۷'],True,True,False,['۴۰۰٬۰۰۰٬۰۰۰']
['۸۷٬۰۰۰'],['۱۳۹۱'],True,True,False,['۳۶۰٬۰۰۰٬۰۰۰']
['۲۵۸٬۰۰۰'],['۱۳۸۵'],True,True,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۵۵٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۹۰٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۹۰'],True,True,False,['۲۸۵٬۰۰۰٬۰۰۰']
['۲۹۵٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
[' جلو بندی کاملا سالم۴ روز پیش در تهران، پاسدارانزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۷٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۱۵٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۲'],True,True,False,['۱۷۰٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۰'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۱۸۵٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۰٬۰۰۰٬۰۰۰']
['۱۸۷٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۰۳٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۷۵٬۰۰۰'],['۱۳۹۱'],True,True,False,['۲۵۵٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۷٬۰۰۰٬۰۰۰']
['۴۰۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۱۸۵٬۰۰۰٬۰۰۰']
['۴۲۷٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۸٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۱۰٬۰۰۰٬۰۰۰']
['۱۳۴٬۰۰۰'],['۱۳۹۴'],True,True,False,['۳۶۰٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۰۰٬۰۰۰٬۰۰۰']
['۳۸۴٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۳۰٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۷۹'],['۱۳۹۷'],True,True,False,['۳۷۷٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۱'],False,True,True,['۲۵۰٬۰۰۰٬۰۰۰']
['۱۵۸٬۰۰۰'],['۱۳۹۳'],True,True,False,['۳۳۵٬۰۰۰٬۰۰۰']
['۷۸٬۰۰۰'],['۱۳۹۶'],False,False,True,['۳۴۵٬۰۰۰٬۰۰۰']
['۱۸۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۳۱۰٬۰۰۰٬۰۰۰']
['۲۶۸٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۳۹٬۰۰۰٬۰۰۰']
['۱۱۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۹۰٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۶۰٬۰۰۰٬۰۰۰']
['۲۹۹٬۰۰۰'],['۱۳۸۵'],False,False,True,['۲۱۸٬۰۰۰٬۰۰۰']
['۲۸۶٬۰۰۰'],['۱۳۸۳'],False,False,True,['۱۹۵٬۰۰۰٬۰۰۰']
['۳۵٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۷۲٬۰۰۰٬۰۰۰']
['۳۰۲٬۰۰۰'],['۱۳۸۶'],False,False,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۱۶۲٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۷۷٬۰۰۰٬۰۰۰']
['۳۳٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۱۷٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۰۰٬۰۰۰٬۰۰۰']
['۹۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۱۸٬۰۰۰٬۰۰۰']
['۲۴۴٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۴۲٬۰۰۰٬۰۰۰']
['۲۸۵٬۰۰۰'],['۱۳۸۱'],False,False,True,['۱۸۱٬۰۰۰٬۰۰۰']
['۳۱٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۴۶۰٬۰۰۰'],['۱۳۸۱'],True,True,True,['۱۳۰٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۴'],False,False,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۹۰'],False,False,False,['۲۴۰٬۰۰۰٬۰۰۰']
['۱۳۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۴۵٬۰۰۰٬۰۰۰']
['۹۱٬۰۰۰'],['۱۳۹۱'],False,False,False,['۳۱۰٬۰۰۰٬۰۰۰']
['۷۲٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۸۹٬۰۰۰٬۰۰۰']
['۱۷۵٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۵۰٬۰۰۰٬۰۰۰']
['۱۴۴٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۰۵٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۰'],True,True,False,['۲۹۰٬۰۰۰٬۰۰۰']
['۳۲٬۰۰۰'],['۱۴۰۰'],False,True,True,['۴۴۰٬۰۰۰٬۰۰۰']
['۲۵۵٬۰۰۰'],['۱۳۸۵'],True,True,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۸٬۰۰۰٬۰۰۰']
['۷۴٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۰٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۴'],True,True,True,['۲۱۲٬۰۰۰٬۰۰۰']
['۴۰۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۱۸۶٬۰۰۰٬۰۰۰']
['۲۰۸٬۰۰۰'],['۱۳۸۷'],False,False,False,['۲۵۵٬۰۰۰٬۰۰۰']
['۱۶٬۸۰۰'],['۱۳۸۵'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۲۳۵٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۱۲٬۰۰۰٬۰۰۰']
['۱۹۵٬۶۷۷'],['۱۳۸۹'],True,True,True,['۲۶۵٬۰۰۰٬۰۰۰']
['۴۳٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۳۰۳٬۰۰۰'],['۱۳۸۴'],False,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۵'],False,False,True,['۳۰۵٬۰۰۰٬۰۰۰']
['۵۰۰٬۰۰۰'],['۱۳۸۴'],True,True,True,['۱۸۹٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۱۶۰٬۰۰۰٬۰۰۰']
[' سالم با کولر روشن۶ روز پیش در تهران، یوسف\u200cآبادزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۱۷۸٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۰۰٬۰۰۰٬۰۰۰']
['۸۲٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۰٬۰۰۰٬۰۰۰']
['۳۱۲٬۰۰۰'],['۱۳۸۹'],False,False,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۱۴۰٬۰۰۰'],['۱۳۹۷'],True,True,False,['۳۹۰٬۰۰۰٬۰۰۰']
['۱۴۸٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۱۰٬۰۰۰٬۰۰۰']
['۳۸۰٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۳۲٬۰۰۰٬۰۰۰']
['۴٬۴۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۳۳٬۰۰۰٬۰۰۰']
['۹۲٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۲۰٬۰۰۰٬۰۰۰']
['۳۶۸٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۵۰٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۵'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۱'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۴۰٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۳۴۷٬۰۰۰'],['۱۳۸۳'],True,True,True,['۱۹۲٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۴'],False,False,True,['۱۵۵٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۲۹٬۰۰۰٬۰۰۰']
['۲۳۰٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۲۳٬۰۰۰٬۰۰۰']
['۵۰٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۵۰٬۰۰۰٬۰۰۰']
['۲۵٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۰۵٬۰۰۰٬۰۰۰']
['۱۰۳٬۰۰۰'],['۱۳۹۶'],True,True,False,['۳۸۵٬۰۰۰٬۰۰۰']
['۳۲۰٬۰۰۰'],['۱۳۸۴'],False,False,True,['۱۲۲٬۲۲۲٬۲۲۲']
['۵۳٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۴۶۹٬۰۰۰٬۰۰۰']
['۲۱۸٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۲۵٬۰۰۰٬۰۰۰']
['۸۰٬۰۰۰'],['۱۳۹۴'],True,True,True,['۲۰۰٬۰۰۰٬۰۰۰']
['۴۲٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۶۵٬۰۰۰٬۰۰۰']
['۲٬۱۰۰'],['۱۳۹۵'],True,True,False,['۳۶۲٬۰۰۰٬۰۰۰']
['۱۹۰٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۵۱٬۵۰۰٬۰۰۰']
['۱۹۷٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۸۰٬۰۰۰٬۰۰۰']
['۳۴۷٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۹۱'],True,True,False,['۳۰۰٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۱۲٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۰۰٬۰۰۰٬۰۰۰']
['۷۵٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۴۸٬۰۰۰٬۰۰۰']
['۱۹۵٬۰۰۰'],['۱۳۸۸'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۳۸۰٬۰۰۰'],['۱۳۸۶'],False,False,True,['۱۹۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۲'],True,True,True,['۱۸۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۴۷۳٬۹۰۰٬۰۰۰']
['۲۴۸٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۳۶۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۰۵٬۰۰۰٬۰۰۰']
['۲۱۰٬۰۰۰'],['۱۳۹۰'],True,True,False,['۲۹۰٬۰۰۰٬۰۰۰']
['۴۱٬۰۰۰'],['۱۳۹۸'],False,False,True,['۳۹۰٬۰۰۰٬۰۰۰']
['۱۸۷٬۰۰۰'],['۱۳۸۵'],False,False,False,['۲۲۲٬۰۰۰٬۰۰۰']
['۱۸۰٬۰۰۰'],['۱۳۸۹'],True,True,False,['۳۱۵٬۰۰۰٬۰۰۰']
['۲۱۷٬۰۰۰'],['۱۳۹۱'],True,True,False,['۲۹۲٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۸۰٬۰۰۰٬۰۰۰']
['۱۱۶٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۸۰٬۰۰۰٬۰۰۰']
['۳۳۵٬۰۰۰'],['۱۳۸۳'],False,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۱۷۸٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۸٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۷۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۷۵٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۲۱۴٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۰۵٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۸۰٬۰۰۰٬۰۰۰']
['۴۱۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۲۷۱٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],False,False,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۱۵٬۰۰۰'],['۱۴۰۱'],False,True,True,['۴۷۲٬۰۰۰٬۰۰۰']
['۲۷٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۳۰٬۰۰۰٬۰۰۰']
['۴۹٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۵٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۸۲٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۵۵٬۰۰۰٬۰۰۰']
['۹٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۸۰٬۰۰۰٬۰۰۰']
['۱۲۳٬۴۵۶'],['۱۳۸۲'],True,True,False,['۲۱۹٬۰۰۰٬۰۰۰']
['۲۲۸٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۶'],True,True,False,['۱۹۷٬۰۰۰٬۰۰۰']
['۷۷٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۷۰٬۰۰۰٬۰۰۰']
['۳۴٬۰۰۰'],['۱۳۹۰'],True,True,True,['۴۲۵٬۰۰۰٬۰۰۰']
['۱۸۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۰٬۰۰۰٬۰۰۰']
['۱۲۰٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۶۵٬۰۰۰٬۰۰۰']
['۱۷۵٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۲۵٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۸۶'],True,True,True,['۱٬۱۱۱٬۱۱۱٬۱۱۱']
['۵۳٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['ه تمیز (نقدواقساط)۱ هفته پیش در تهران، اقدسیهزنگ خطرهای قبل از معاملهاطلاعات تماسکارکرد۱٬۰۰۰'],['۱۴۰۰'],True,True,True,['۵۱۰٬۰۰۰٬۰۰۰']
['۶۸٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۶۵٬۰۰۰٬۰۰۰']
['۱۱۷٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۵۲٬۰۰۰٬۰۰۰']
['۹۲٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۳۰٬۰۰۰٬۰۰۰']
['۱٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۹۵٬۰۰۰٬۰۰۰']
['۱۴٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۶۰٬۰۰۰٬۰۰۰']
['۱۱۷٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۴۸٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۲۵۵٬۰۰۰٬۰۰۰']
['۱۰٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۹۰٬۰۰۰٬۰۰۰']
['۱۴۰٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۹۵٬۰۰۰٬۰۰۰']
['۱۶۸٬۰۰۰'],['۱۳۸۹'],True,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
['۲۲٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۵۰٬۰۰۰٬۰۰۰']
['۲۲۳٬۰۰۰'],['۱۳۸۶'],False,False,True,['۱۹۵٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۶'],True,True,True,['۲۲۵٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۴'],True,True,False,['۳۵۵٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۰٬۰۰۰٬۰۰۰']
['۴۴٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۲۰٬۰۰۰٬۰۰۰']
['۱۰۶٬۰۰۰'],['۱۳۹۰'],True,True,False,['۳۰۳٬۰۰۰٬۰۰۰']
['۳۰٬۰۰۰'],['۱۳۹۹'],False,False,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۱٬۰۰۰'],['۱۴۰۰'],True,True,True,['۳۰۰٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۱۸۵٬۰۰۰'],['۱۳۹۰'],True,True,False,['۲۸۰٬۰۰۰٬۰۰۰']
['۵۵٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۰٬۰۰۰٬۰۰۰']
['۲۴۷٬۰۰۰'],['۱۳۸۹'],True,True,True,['۳۵۰٬۰۰۰٬۰۰۰']
['۱٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۰۰٬۰۰۰٬۰۰۰']
['۷۴٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۷۵٬۰۰۰٬۰۰۰']
