Mileage(Kilometer),Model(Year),Engine(True=Healthy),Chassis(True=Healthy),Description(False=Expensive),Price(Toman)
['۱۸۱٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۷٬۰۰۰٬۰۰۰']
['۹۰٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۰۴٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۲۵٬۰۰۰٬۰۰۰']
['۳۶۲٬۰۰۰'],['۱۳۸۳'],True,True,True,['۱۷۵٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۵'],False,False,False,['۳۴۸٬۰۰۰٬۰۰۰']
['۷۳٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۴۳٬۰۰۰٬۰۰۰']
['۲۹٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۳۰٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۴'],True,True,True,['۱۹۸٬۰۰۰٬۰۰۰']
"['۱۵۲٬۰۰۰', ' واقعی بیمه تا برج 3 .معاینه فنی تا برج 3.ساله آینده داخل بسیار تمیز و مرتب .سرویس\u200cها انجام شده تسمه تایم تسمه دینام .لنت جلو و دیسک چرخ.لنت عقب .شمع و وایر .صافی بنزین .جلوبندی نو .باطری نو..2 تیکه رنگ  .لبه گلگیر عقب و .ی درب عقب ....نوک کاپوت صافکاری بدون رنگ دارد .فنی سالم .لاستیک 60 در صد .چت دیوار جواب نمی\u200cدم .گاز کولر هم سرویس شده .....معاوضه هم میکنم با پراید ']",['۱۳۹۰'],True,True,False,['۲۹۰٬۰۰۰٬۰۰۰']
['۱۹٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۶۰٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۳۶۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۳۵٬۰۰۰٬۰۰۰']
['۳۵۰٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۷۷٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۶۸٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۴۹۲٬۵۰۰٬۰۰۰']
['۵۷٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۲۱۰٬۰۰۰'],['۱۳۸۹'],True,True,False,['۳۲۰٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۴۰٬۰۰۰٬۰۰۰']
['۳۲۰٬۰۰۰'],['۱۳۹۰'],True,True,False,['۲۹۰٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۳۸٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۷۰٬۰۰۰٬۰۰۰']
['۱٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۹۰٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۱۰٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۷۰٬۰۰۰٬۰۰۰']
['۱۰۸٬۶۰۰'],['۱۳۹۶'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۱۶۵٬۰۰۰٬۰۰۰']
